"ST","ASP","GLN","GLT","GLY","PGM","TKT","UNC","Source","UR_num","UR_bool","SampledDate","Number","Label","Year","month","YearMonth"
2584,2,1,57,26,127,29,35,"Supplier Other",NA,NA,2012-02-29,1,"Poultry",2012,2,86
21,2,1,1,3,2,1,5,"Supplier Other",NA,NA,2012-02-29,1,"Poultry",2012,2,86
45,4,7,10,4,1,7,1,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
50,2,1,12,3,2,1,5,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
451,2,1,2,3,2,3,5,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
45,4,7,10,4,1,7,1,"Supplier B",NA,NA,2012-02-28,1,"Poultry",2012,2,86
45,4,7,10,4,1,7,1,"Supplier B",NA,NA,2012-02-28,1,"Poultry",2012,2,86
21,2,1,1,3,2,1,5,"Supplier Other",NA,NA,2012-02-28,1,"Poultry",2012,2,86
3105,7,276,5,2,135,68,26,"Supplier Other",NA,NA,2012-02-28,1,"Poultry",2012,2,86
21,2,1,1,3,2,1,5,"Supplier Other",NA,NA,2012-02-28,1,"Poultry",2012,2,86
3105,7,276,5,2,135,68,26,"Supplier Other",NA,NA,2012-02-28,1,"Poultry",2012,2,86
50,2,1,12,3,2,1,5,"Supplier A",NA,NA,2012-02-28,1,"Poultry",2012,2,86
61,1,4,2,2,6,3,17,"Supplier A",NA,NA,2012-01-06,1,"Poultry",2012,1,85
45,4,7,10,4,1,7,1,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
50,2,1,12,3,2,1,5,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
2345,2,4,5,2,2,5,5,"Supplier B",NA,NA,2005-05-25,1,"Poultry",2005,5,5
21,2,1,1,3,2,1,5,"Supplier Other",NA,NA,2012-01-06,1,"Poultry",2012,1,85
21,2,1,1,3,2,1,5,"Supplier Other",NA,NA,2012-01-06,1,"Poultry",2012,1,85
583,4,7,10,4,42,51,1,"Supplier B",NA,NA,2012-01-06,1,"Poultry",2012,1,85
45,4,7,10,4,1,7,1,"Supplier B",NA,NA,2012-01-06,1,"Poultry",2012,1,85
583,4,7,10,4,42,51,1,"Supplier B",NA,NA,2012-01-06,1,"Poultry",2012,1,85
257,9,2,4,62,4,5,6,"Supplier B",NA,NA,2011-12-13,1,"Poultry",2011,12,84
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2011-12-13,1,"Poultry",2011,12,84
50,2,1,12,3,2,1,5,"Supplier A",NA,NA,2011-12-13,1,"Poultry",2011,12,84
583,4,7,10,4,42,51,1,"Supplier Other",NA,NA,2011-12-13,1,"Poultry",2011,12,84
583,4,7,10,4,42,51,1,"Supplier Other",NA,NA,2011-12-13,1,"Poultry",2011,12,84
45,4,7,10,4,1,7,1,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
451,2,1,2,3,2,3,5,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
1326,104,7,10,4,1,7,1,"Supplier A",NA,NA,2011-11-08,1,"Poultry",2011,11,83
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2011-11-08,1,"Poultry",2011,11,83
583,4,7,10,4,42,51,1,"Supplier B",NA,NA,2011-11-08,1,"Poultry",2011,11,83
583,4,7,10,4,42,51,1,"Supplier B",NA,NA,2011-11-08,1,"Poultry",2011,11,83
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2011-11-08,1,"Poultry",2011,11,83
50,2,1,12,3,2,1,5,"Supplier B",NA,NA,2011-11-08,1,"Poultry",2011,11,83
21,2,1,1,3,2,1,5,"Supplier B",NA,NA,2011-10-06,1,"Poultry",2011,10,82
535,9,30,2,2,89,59,6,"Supplier B",NA,NA,2011-10-06,1,"Poultry",2011,10,82
474,2,4,1,2,2,1,5,"Supplier B",NA,NA,2011-10-06,1,"Poultry",2011,10,82
451,2,1,2,3,2,3,5,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
45,4,7,10,4,1,7,1,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
50,2,1,12,3,2,1,5,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
658,2,4,2,4,19,3,6,"Supplier A",NA,NA,2011-10-06,1,"Poultry",2011,10,82
583,4,7,10,4,42,51,1,"Supplier Other",NA,NA,2011-09-08,1,"Poultry",2011,9,81
583,4,7,10,4,42,51,1,"Supplier Other",NA,NA,2011-09-08,1,"Poultry",2011,9,81
1326,104,7,10,4,1,7,1,"Supplier Other",NA,NA,2011-09-08,1,"Poultry",2011,9,81
10087,4,7,10,3,42,1,1,"Supplier B",NA,NA,2011-09-08,1,"Poultry",2011,9,81
50,2,1,12,3,2,1,5,"Supplier B",NA,NA,2011-09-08,1,"Poultry",2011,9,81
50,2,1,12,3,2,1,5,"Supplier B",NA,NA,2011-09-08,1,"Poultry",2011,9,81
51,7,17,2,15,23,3,12,"Supplier A",NA,NA,2011-09-08,1,"Poultry",2011,9,81
583,4,7,10,4,42,51,1,"Supplier A",NA,NA,2011-09-08,1,"Poultry",2011,9,81
1326,104,7,10,4,1,7,1,"Supplier A",NA,NA,2011-08-11,1,"Poultry",2011,8,80
583,4,7,10,4,42,51,1,"Supplier A",NA,NA,2011-08-11,1,"Poultry",2011,8,80
451,2,1,2,3,2,3,5,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
1326,104,7,10,4,1,7,1,"Supplier A",NA,NA,2011-08-11,1,"Poultry",2011,8,80
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2011-08-11,1,"Poultry",2011,8,80
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2011-08-11,1,"Poultry",2011,8,80
45,4,7,10,4,1,7,1,"Supplier A",NA,NA,2011-07-05,1,"Poultry",2011,7,79
45,4,7,10,4,1,7,1,"Supplier A",NA,NA,2011-07-05,1,"Poultry",2011,7,79
2991,2,7,10,4,1,1,1,"Supplier A",NA,NA,2011-07-05,1,"Poultry",2011,7,79
474,2,4,1,2,2,1,5,"Supplier B",NA,NA,2011-07-05,1,"Poultry",2011,7,79
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2011-07-05,1,"Poultry",2011,7,79
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2011-07-05,1,"Poultry",2011,7,79
451,2,1,2,3,2,3,5,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
45,4,7,10,4,1,7,1,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
10073,33,39,65,79,986,77,17,"Supplier Other",NA,NA,2011-06-09,1,"Poultry",2011,6,78
1326,104,7,10,4,1,7,1,"Supplier Other",NA,NA,2011-06-09,1,"Poultry",2011,6,78
10072,33,39,65,79,985,77,17,"Supplier Other",NA,NA,2011-06-09,1,"Poultry",2011,6,78
1326,104,7,10,4,1,7,1,"Supplier Other",NA,NA,2011-06-09,1,"Poultry",2011,6,78
3721,8,10,149,2,1,12,6,"Supplier A",NA,NA,2011-06-09,1,"Poultry",2011,6,78
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2011-06-09,1,"Poultry",2011,6,78
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2011-06-09,1,"Poultry",2011,6,78
1326,104,7,10,4,1,7,1,"Supplier A",NA,NA,2011-05-26,1,"Poultry",2011,5,77
1326,104,7,10,4,1,7,1,"Supplier A",NA,NA,2011-05-26,1,"Poultry",2011,5,77
854,33,38,30,82,104,43,17,"Supplier B",NA,NA,2011-05-26,1,"Poultry",2011,5,77
50,2,1,12,3,2,1,5,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
45,4,7,10,4,1,7,1,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
854,33,38,30,82,104,43,17,"Supplier B",NA,NA,2011-05-26,1,"Poultry",2011,5,77
3609,2,4,12,2,7,1,5,"Supplier B",NA,NA,2011-05-26,1,"Poultry",2011,5,77
520,2,1,12,88,2,1,5,"Supplier B",NA,NA,2011-05-26,1,"Poultry",2011,5,77
583,4,7,10,4,42,51,1,"Supplier Other",NA,NA,2011-04-12,1,"Poultry",2011,4,76
10092,4,996,10,4,1,7,1,"Supplier Other",NA,NA,2011-04-12,1,"Poultry",2011,4,76
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2011-04-12,1,"Poultry",2011,4,76
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2011-04-12,1,"Poultry",2011,4,76
583,4,7,10,4,42,51,1,"Supplier A",NA,NA,2011-04-12,1,"Poultry",2011,4,76
45,4,7,10,4,1,7,1,"Supplier A",NA,NA,2011-04-12,1,"Poultry",2011,4,76
2389,37,253,75,48,126,25,3,"Supplier A",NA,NA,2011-03-10,1,"Poultry",2011,3,75
2389,37,253,75,48,126,25,3,"Supplier A",NA,NA,2011-03-10,1,"Poultry",2011,3,75
451,2,1,2,3,2,3,5,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
50,2,1,12,3,2,1,5,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
45,4,7,10,4,1,7,1,"Supplier Other",NA,NA,2011-03-10,1,"Poultry",2011,3,75
50,2,1,12,3,2,1,5,"Supplier Other",NA,NA,2011-03-10,1,"Poultry",2011,3,75
2389,37,253,75,48,126,25,3,"Supplier B",NA,NA,2011-03-10,1,"Poultry",2011,3,75
53,2,1,21,3,2,1,5,"Supplier B",NA,NA,2011-03-10,1,"Poultry",2011,3,75
45,4,7,10,4,1,7,1,"Supplier B",NA,NA,2011-02-17,1,"Poultry",2011,2,74
45,4,7,10,4,1,7,1,"Supplier B",NA,NA,2011-02-17,1,"Poultry",2011,2,74
1581,129,66,30,82,189,47,17,"Supplier B",NA,NA,2011-02-17,1,"Poultry",2011,2,74
45,4,7,10,4,1,7,1,"Supplier Other",NA,NA,2011-02-17,1,"Poultry",2011,2,74
45,4,7,10,4,1,7,1,"Supplier Other",NA,NA,2011-02-17,1,"Poultry",2011,2,74
451,2,1,2,3,2,3,5,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
50,2,1,12,3,2,1,5,"Supplier Other",NA,NA,2005-08-25,1,"Poultry",2005,8,8
2389,37,253,75,48,126,25,3,"Supplier B",NA,NA,2011-01-20,1,"Poultry",2011,1,73
42,1,2,3,4,5,9,3,"Supplier B",NA,NA,2011-01-20,1,"Poultry",2011,1,73
45,4,7,10,4,1,7,1,"Supplier A",NA,NA,2011-01-20,1,"Poultry",2011,1,73
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2011-01-20,1,"Poultry",2011,1,73
53,2,1,21,3,2,1,5,"Supplier B",NA,NA,2011-01-20,1,"Poultry",2011,1,73
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2011-01-20,1,"Poultry",2011,1,73
3072,33,39,30,82,104,173,68,"Supplier A",NA,NA,2010-12-16,1,"Poultry",2010,12,72
53,2,1,21,3,2,1,5,"Supplier B",NA,NA,2010-12-16,1,"Poultry",2010,12,72
53,2,1,21,3,2,1,5,"Supplier B",NA,NA,2010-12-16,1,"Poultry",2010,12,72
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2005-08-22,1,"Poultry",2005,8,8
1326,104,7,10,4,1,7,1,"Supplier A",NA,NA,2010-11-11,1,"Poultry",2010,11,71
658,2,4,2,4,19,3,6,"Supplier A",NA,NA,2010-11-11,1,"Poultry",2010,11,71
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2010-11-11,1,"Poultry",2010,11,71
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2010-11-11,1,"Poultry",2010,11,71
38,2,4,2,2,6,1,5,"Supplier B",NA,NA,2010-10-29,1,"Poultry",2010,10,70
38,2,4,2,2,6,1,5,"Supplier B",NA,NA,2010-10-29,1,"Poultry",2010,10,70
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2005-08-22,1,"Poultry",2005,8,8
25,4,7,10,1,1,7,1,"Supplier A",NA,NA,2005-08-22,1,"Poultry",2005,8,8
10008,129,66,30,82,189,999,17,"Supplier A",NA,NA,2010-10-29,1,"Poultry",2010,10,70
1581,129,66,30,82,189,47,17,"Supplier A",NA,NA,2010-10-29,1,"Poultry",2010,10,70
1326,104,7,10,4,1,7,1,"Supplier A",NA,NA,2010-09-30,1,"Poultry",2010,9,69
1326,104,7,10,4,1,7,1,"Supplier A",NA,NA,2010-09-30,1,"Poultry",2010,9,69
52,9,25,2,10,22,3,6,"Supplier A",NA,NA,2010-09-30,1,"Poultry",2010,9,69
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2010-09-30,1,"Poultry",2010,9,69
45,4,7,10,4,1,7,1,"Supplier Other",NA,NA,2010-09-30,1,"Poultry",2010,9,69
45,4,7,10,4,1,7,1,"Supplier Other",NA,NA,2010-09-30,1,"Poultry",2010,9,69
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2005-08-22,1,"Poultry",2005,8,8
2345,2,4,5,2,2,5,5,"Supplier B",NA,NA,2005-05-25,1,"Poultry",2005,5,5
45,4,7,10,4,1,7,1,"Supplier B",NA,NA,2005-05-25,1,"Poultry",2005,5,5
45,4,7,10,4,1,7,1,"Supplier A",NA,NA,2010-08-18,1,"Poultry",2010,8,68
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2010-08-18,1,"Poultry",2010,8,68
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2010-08-18,1,"Poultry",2010,8,68
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2010-07-02,1,"Poultry",2010,7,67
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2010-07-02,1,"Poultry",2010,7,67
451,2,1,2,3,2,3,5,"Supplier Other",NA,NA,2005-08-14,1,"Poultry",2005,8,8
356,14,17,5,2,11,3,6,"Supplier A",NA,NA,2010-07-02,1,"Poultry",2010,7,67
1581,129,66,30,82,189,47,17,"Supplier B",NA,NA,2010-06-18,1,"Poultry",2010,6,66
45,4,7,10,4,1,7,1,"Supplier A",NA,NA,2010-06-18,1,"Poultry",2010,6,66
45,4,7,10,4,1,7,1,"Supplier A",NA,NA,2010-06-18,1,"Poultry",2010,6,66
356,14,17,5,2,11,3,6,"Supplier A",NA,NA,2010-05-21,1,"Poultry",2010,5,65
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2010-05-20,1,"Poultry",2010,5,65
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2010-05-20,1,"Poultry",2010,5,65
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2010-04-20,1,"Poultry",2010,4,64
53,2,1,21,3,2,1,5,"Supplier B",NA,NA,2010-04-20,1,"Poultry",2010,4,64
5651,4,7,10,457,1,7,1,"Supplier A",NA,NA,2010-04-20,1,"Poultry",2010,4,64
2389,37,253,75,48,126,25,3,"Supplier A",NA,NA,2010-04-20,1,"Poultry",2010,4,64
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2010-03-25,1,"Poultry",2010,3,63
53,2,1,21,3,2,1,5,"Supplier A",NA,NA,2010-03-25,1,"Poultry",2010,3,63
45,4,7,10,4,1,7,1,"Supplier B",NA,NA,2010-03-25,1,"Poultry",2010,3,63
45,4,7,10,4,1,7,1,"Supplier B",NA,NA,2010-03-25,1,"Poultry",2010,3,63
45,4,7,10,4,1,7,1,"Supplier B",NA,NA,2010-02-18,1,"Poultry",2010,2,62
3711,1,2,4,62,4,5,17,"Supplier B",NA,NA,2010-02-18,1,"Poultry",2010,2,62
1326,104,7,10,4,1,7,1,"Supplier A",NA,NA,2010-02-18,1,"Poultry",2010,2,62
3609,2,4,12,2,7,1,5,"Supplier B",NA,NA,2005-08-14,1,"Poultry",2005,8,8
1517,8,10,149,2,11,12,6,"Supplier B",NA,NA,2005-08-14,1,"Poultry",2005,8,8
45,4,7,10,4,1,7,1,"Supplier B",NA,NA,2010-02-18,1,"Poultry",2010,2,62
53,2,1,21,3,2,1,5,"Supplier B",NA,NA,2010-02-18,1,"Poultry",2010,2,62
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2010-01-13,1,"Poultry",2010,1,61
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2010-01-13,1,"Poultry",2010,1,61
53,2,1,21,3,2,1,5,"Supplier B",NA,NA,2010-01-13,1,"Poultry",2010,1,61
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2009-12-08,1,"Poultry",2009,12,60
3609,2,4,12,2,7,1,5,"Supplier B",NA,NA,2005-08-14,1,"Poultry",2005,8,8
45,4,7,10,4,1,7,1,"Supplier B",NA,NA,2009-12-08,1,"Poultry",2009,12,60
45,4,7,10,4,1,7,1,"Supplier B",NA,NA,2009-12-08,1,"Poultry",2009,12,60
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2009-12-08,1,"Poultry",2009,12,60
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2009-12-08,1,"Poultry",2009,12,60
50,2,1,12,3,2,1,5,"Supplier B",NA,NA,2009-11-17,1,"Poultry",2009,11,59
50,2,1,12,3,2,1,5,"Supplier B",NA,NA,2009-11-17,1,"Poultry",2009,11,59
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2009-11-17,1,"Poultry",2009,11,59
1517,8,10,149,2,11,12,6,"Supplier Other",NA,NA,2009-11-17,1,"Poultry",2009,11,59
45,4,7,10,4,1,7,1,"Supplier A",NA,NA,2005-07-01,1,"Poultry",2005,7,7
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2009-10-13,1,"Poultry",2009,10,58
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2009-10-13,1,"Poultry",2009,10,58
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2009-09-16,1,"Poultry",2009,9,57
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2009-09-16,1,"Poultry",2009,9,57
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2009-09-15,1,"Poultry",2009,9,57
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2009-09-15,1,"Poultry",2009,9,57
53,2,1,21,3,2,1,5,"Supplier A",NA,NA,2009-08-18,1,"Poultry",2009,8,56
53,2,1,21,3,2,1,5,"Supplier A",NA,NA,2009-08-18,1,"Poultry",2009,8,56
42,1,2,3,4,5,9,3,"Supplier A",NA,NA,2009-08-18,1,"Poultry",2009,8,56
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2009-08-18,1,"Poultry",2009,8,56
61,1,4,2,2,6,3,17,"Supplier B",NA,NA,2009-08-18,1,"Poultry",2009,8,56
61,1,4,2,2,6,3,17,"Supplier B",NA,NA,2009-08-18,1,"Poultry",2009,8,56
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2009-07-09,1,"Poultry",2009,7,55
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2009-07-09,1,"Poultry",2009,7,55
190,2,1,5,3,2,3,5,"Supplier A",NA,NA,2005-07-01,1,"Poultry",2005,7,7
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2009-07-09,1,"Poultry",2009,7,55
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2009-06-26,1,"Poultry",2009,6,54
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2009-06-26,1,"Poultry",2009,6,54
48,2,4,1,2,7,1,5,"Supplier B",NA,NA,2009-06-26,1,"Poultry",2009,6,54
474,2,4,1,2,2,1,5,"Supplier A",NA,NA,2005-07-01,1,"Poultry",2005,7,7
4510,2,52,57,26,74,29,6,"Duck_poultry",NA,NA,2009-06-17,4,"Other",2009,6,54
3725,37,1,57,26,107,29,35,"Duck_poultry",NA,NA,2009-06-17,4,"Other",2009,6,54
45,4,7,10,4,1,7,1,"Supplier A",NA,NA,2009-05-21,1,"Poultry",2009,5,53
45,4,7,10,4,1,7,1,"Supplier A",NA,NA,2009-05-21,1,"Poultry",2009,5,53
45,4,7,10,4,1,7,1,"Supplier A",NA,NA,2009-05-21,1,"Poultry",2009,5,53
45,4,7,10,4,1,7,1,"Supplier A",NA,NA,2009-05-21,1,"Poultry",2009,5,53
190,2,1,5,3,2,3,5,"Supplier A",NA,NA,2005-07-01,1,"Poultry",2005,7,7
45,4,7,10,4,1,7,1,"Supplier A",NA,NA,2005-05-25,1,"Poultry",2005,5,5
43,2,1,5,3,4,1,5,"Environmental water",NA,NA,2009-06-24,3,"Water",2009,6,54
1324,99,128,91,125,170,146,111,"Environmental water",NA,NA,2009-06-24,3,"Water",2009,6,54
2378,2,15,4,48,356,25,23,"Environmental water",NA,NA,2009-06-24,3,"Water",2009,6,54
2378,2,15,4,48,356,25,23,"Environmental water",NA,NA,2009-06-24,3,"Water",2009,6,54
3675,237,2,254,340,435,349,256,"Environmental water",NA,NA,2009-06-24,3,"Water",2009,6,54
53,2,1,21,3,2,1,5,"Environmental water",NA,NA,2009-06-24,3,"Water",2009,6,54
4495,237,306,254,340,433,349,290,"Environmental water",NA,NA,2009-06-24,3,"Water",2009,6,54
4342,237,306,254,340,433,410,288,"Environmental water",NA,NA,2009-06-24,3,"Water",2009,6,54
677,10,81,50,99,120,76,52,"Environmental water",NA,NA,2009-06-24,3,"Water",2009,6,54
3675,237,2,254,340,435,349,256,"Environmental water",NA,NA,2009-06-24,3,"Water",2009,6,54
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-11-30,2,"Ruminants",2009,11,59
4494,1,4,2,2,496,3,17,"Cattle",NA,NA,2009-11-30,2,"Ruminants",2009,11,59
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-11-30,2,"Ruminants",2009,11,59
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
21,2,1,1,3,2,1,5,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
21,2,1,1,3,2,1,5,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
4493,33,283,44,82,189,414,17,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
3222,33,283,44,82,189,44,17,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2009-11-23,2,"Ruminants",2009,11,59
21,2,1,1,3,2,1,5,"Cattle",NA,NA,2009-11-16,2,"Ruminants",2009,11,59
21,2,1,1,3,2,1,5,"Cattle",NA,NA,2009-11-16,2,"Ruminants",2009,11,59
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2009-11-16,2,"Ruminants",2009,11,59
3222,33,283,44,82,189,44,17,"Cattle",NA,NA,2009-11-16,2,"Ruminants",2009,11,59
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-11-16,2,"Ruminants",2009,11,59
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-11-16,2,"Ruminants",2009,11,59
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-11-10,2,"Ruminants",2009,11,59
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-11-10,2,"Ruminants",2009,11,59
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-11-10,2,"Ruminants",2009,11,59
520,2,1,12,88,2,1,5,"Cattle",NA,NA,2009-10-27,2,"Ruminants",2009,10,58
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-10-27,2,"Ruminants",2009,10,58
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2009-10-19,2,"Ruminants",2009,10,58
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2009-10-19,2,"Ruminants",2009,10,58
3222,33,283,44,82,189,44,17,"Cattle",NA,NA,2009-10-19,2,"Ruminants",2009,10,58
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2009-11-10,2,"Ruminants",2009,11,59
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2009-11-10,2,"Ruminants",2009,11,59
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2009-11-10,2,"Ruminants",2009,11,59
21,2,1,1,3,2,1,5,"Cattle",NA,NA,2009-11-10,2,"Ruminants",2009,11,59
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2009-11-10,2,"Ruminants",2009,11,59
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2009-11-10,2,"Ruminants",2009,11,59
21,2,1,1,3,2,1,5,"Cattle",NA,NA,2009-11-10,2,"Ruminants",2009,11,59
474,2,4,1,2,2,1,5,"Cattle",NA,NA,2009-11-10,2,"Ruminants",2009,11,59
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2009-11-04,2,"Ruminants",2009,11,59
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2009-11-04,2,"Ruminants",2009,11,59
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2009-11-04,2,"Ruminants",2009,11,59
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2009-11-04,2,"Ruminants",2009,11,59
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2009-10-27,2,"Ruminants",2009,10,58
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2009-10-27,2,"Ruminants",2009,10,58
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2009-10-27,2,"Ruminants",2009,10,58
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2009-10-27,2,"Ruminants",2009,10,58
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-10-27,2,"Ruminants",2009,10,58
4492,1,14,2,2,6,1,17,"Cattle",NA,NA,2009-10-27,2,"Ruminants",2009,10,58
4336,1,350,5,332,261,293,3,"Environmental water",NA,NA,2009-03-12,3,"Water",2009,3,51
4336,1,350,5,332,261,293,3,"Environmental water",NA,NA,2009-03-12,3,"Water",2009,3,51
4336,1,350,5,332,261,293,3,"Environmental water",NA,NA,2009-03-12,3,"Water",2009,3,51
4336,1,350,5,332,261,293,3,"Environmental water",NA,NA,2009-03-12,3,"Water",2009,3,51
45,4,7,10,4,1,7,1,"Environmental water",NA,NA,2009-03-12,3,"Water",2009,3,51
4336,1,350,5,332,261,293,3,"Environmental water",NA,NA,2009-03-12,3,"Water",2009,3,51
4336,1,350,5,332,261,293,3,"Environmental water",NA,NA,2009-03-12,3,"Water",2009,3,51
4336,1,350,5,332,261,293,3,"Environmental water",NA,NA,2009-03-12,3,"Water",2009,3,51
4336,1,350,5,332,261,293,3,"Environmental water",NA,NA,2009-03-12,3,"Water",2009,3,51
4336,1,350,5,332,261,293,3,"Environmental water",NA,NA,2009-03-12,3,"Water",2009,3,51
3845,1,6,216,282,261,346,3,"Environmental water",NA,NA,2008-10-30,3,"Water",2008,10,46
4336,1,350,5,332,261,293,3,"Environmental water",NA,NA,2009-03-12,3,"Water",2009,3,51
2381,175,251,216,282,359,293,102,"Environmental water",NA,NA,2009-03-12,3,"Water",2009,3,51
4336,1,350,5,332,261,293,3,"Environmental water",NA,NA,2009-03-12,3,"Water",2009,3,51
